title,author,length
1. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
2. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
3. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
4. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
5. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
6. The Sandman: Act III,"By: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 32 mins
7. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
8. Fire & Blood (HBO Tie-in Edition),By: George R. R. Martin,Length: 26 hrs and 24 mins
9. Long Shadows,By: David Baldacci,Length: 12 hrs and 3 mins
10. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
11. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
12. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
13. Confidence Man,By: Maggie Haberman,Length: 17 hrs and 22 mins
"14. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
15. The Trump Tapes,By: Bob Woodward,Length: Not Yet Known
16. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
17. Gallant,By: V.E. Schwab,Length: 7 hrs and 41 mins
18. Beyond the Wand,By: Tom Felton,Length: 6 hrs and 36 mins
19. And There Was Light,By: Jon Meacham,Length: 17 hrs and 49 mins
20. All Good People Here,By: Ashley Flowers,Length: 10 hrs and 35 mins
